BIOME minecraft:badlands
1 0 minecraft:lake
1 1 minecraft:lake
2 0 minecraft:mineshaft
2 1 minecraft:stronghold
2 2 minecraft:buried_treasure
2 3 minecraft:monster_room
3 0 minecraft:pillager_outpost
3 1 minecraft:swamp_hut
3 2 minecraft:desert_pyramid
3 3 minecraft:jungle_temple
3 4 minecraft:igloo
3 5 minecraft:shipwreck
3 6 minecraft:ocean_monument
3 7 minecraft:woodland_mansion
3 8 minecraft:ocean_ruin
3 9 minecraft:village
4 0 minecraft:ore
4 1 minecraft:ore
4 2 minecraft:ore
4 3 minecraft:ore
4 4 minecraft:ore
4 5 minecraft:ore
4 6 minecraft:ore
4 7 minecraft:ore
4 8 minecraft:ore
4 9 minecraft:ore
4 10 minecraft:ore
4 11 minecraft:ore
4 12 minecraft:disk
4 13 minecraft:disk
4 14 minecraft:disk
6 0 minecraft:random_patch
6 1 minecraft:random_patch
6 2 minecraft:random_patch
6 3 minecraft:random_patch
6 4 minecraft:random_patch
6 5 minecraft:random_patch
6 6 minecraft:random_patch
6 7 minecraft:spring_feature
6 8 minecraft:spring_feature
7 0 minecraft:freeze_top_layer
BIOME minecraft:badlands_plateau
1 0 minecraft:lake
1 1 minecraft:lake
2 0 minecraft:mineshaft
2 1 minecraft:stronghold
2 2 minecraft:buried_treasure
2 3 minecraft:monster_room
3 0 minecraft:pillager_outpost
3 1 minecraft:swamp_hut
3 2 minecraft:desert_pyramid
3 3 minecraft:jungle_temple
3 4 minecraft:igloo
3 5 minecraft:shipwreck
3 6 minecraft:ocean_monument
3 7 minecraft:woodland_mansion
3 8 minecraft:ocean_ruin
3 9 minecraft:village
4 0 minecraft:ore
4 1 minecraft:ore
4 2 minecraft:ore
4 3 minecraft:ore
4 4 minecraft:ore
4 5 minecraft:ore
4 6 minecraft:ore
4 7 minecraft:ore
4 8 minecraft:ore
4 9 minecraft:ore
4 10 minecraft:ore
4 11 minecraft:ore
4 12 minecraft:disk
4 13 minecraft:disk
4 14 minecraft:disk
6 0 minecraft:random_patch
6 1 minecraft:random_patch
6 2 minecraft:random_patch
6 3 minecraft:random_patch
6 4 minecraft:random_patch
6 5 minecraft:random_patch
6 6 minecraft:random_patch
6 7 minecraft:spring_feature
6 8 minecraft:spring_feature
7 0 minecraft:freeze_top_layer
BIOME minecraft:bamboo_jungle
1 0 minecraft:lake
1 1 minecraft:lake
2 0 minecraft:mineshaft
2 1 minecraft:stronghold
2 2 minecraft:buried_treasure
2 3 minecraft:monster_room
3 0 minecraft:pillager_outpost
3 1 minecraft:swamp_hut
3 2 minecraft:desert_pyramid
3 3 minecraft:jungle_temple
3 4 minecraft:igloo
3 5 minecraft:shipwreck
3 6 minecraft:ocean_monument
3 7 minecraft:woodland_mansion
3 8 minecraft:ocean_ruin
3 9 minecraft:village
4 0 minecraft:ore
4 1 minecraft:ore
4 2 minecraft:ore
4 3 minecraft:ore
4 4 minecraft:ore
4 5 minecraft:ore
4 6 minecraft:ore
4 7 minecraft:ore
4 8 minecraft:ore
4 9 minecraft:ore
4 10 minecraft:ore
4 11 minecraft:disk
4 12 minecraft:disk
4 13 minecraft:disk
6 0 minecraft:bamboo
6 1 minecraft:random_selector
6 2 minecraft:flower
6 3 minecraft:random_patch
6 4 minecraft:random_patch
6 5 minecraft:random_patch
6 6 minecraft:random_patch
6 7 minecraft:random_patch
6 8 minecraft:spring_feature
6 9 minecraft:spring_feature
6 10 minecraft:random_patch
6 11 minecraft:vines
7 0 minecraft:freeze_top_layer
BIOME minecraft:bamboo_jungle_hills
1 0 minecraft:lake
1 1 minecraft:lake
2 0 minecraft:mineshaft
2 1 minecraft:stronghold
2 2 minecraft:buried_treasure
2 3 minecraft:monster_room
3 0 minecraft:pillager_outpost
3 1 minecraft:swamp_hut
3 2 minecraft:desert_pyramid
3 3 minecraft:jungle_temple
3 4 minecraft:igloo
3 5 minecraft:shipwreck
3 6 minecraft:ocean_monument
3 7 minecraft:woodland_mansion
3 8 minecraft:ocean_ruin
3 9 minecraft:village
4 0 minecraft:ore
4 1 minecraft:ore
4 2 minecraft:ore
4 3 minecraft:ore
4 4 minecraft:ore
4 5 minecraft:ore
4 6 minecraft:ore
4 7 minecraft:ore
4 8 minecraft:ore
4 9 minecraft:ore
4 10 minecraft:ore
4 11 minecraft:disk
4 12 minecraft:disk
4 13 minecraft:disk
6 0 minecraft:bamboo
6 1 minecraft:random_selector
6 2 minecraft:flower
6 3 minecraft:random_patch
6 4 minecraft:random_patch
